number,feature,corr,p_value,abs_corr,p_adj
8,humidity,-0.12039370414866452,0.0026550376279679635,0.12039370414866452,0.38760850710245476
16,pressure,0.11769060884061416,0.003312552276109225,0.11769060884061416,0.38760850710245476
15,humidity,0.11703817640230454,0.0034919685324545473,0.11703817640230454,0.38760850710245476
4,humidity,-0.10497470429327299,0.008846699355018363,0.10497470429327299,0.7364877213052787
13,pressure_diff,-0.07103208129625294,0.0769308080823693,0.07103208129625294,0.8730505444385507
11,moon_age,0.0691372167193124,0.0851638178882481,0.0691372167193124,0.8730505444385507
11,humidity_diff,-0.06373195730676104,0.11260199450602593,0.06373195730676104,0.8730505444385507
33,temp,-0.0640543568423305,0.11079092129291891,0.0640543568423305,0.8730505444385507
21,humidity_diff,-0.051599042180586564,0.1991047438389224,0.051599042180586564,0.8730505444385507
11,temp,0.0499130133804747,0.21420182157942405,0.0499130133804747,0.8730505444385507
33,pressure_diff,-0.07628419253309954,0.05744212329312583,0.07628419253309954,0.8730505444385507
21,moon_cos,0.06979805409840052,0.08221535518879629,0.06979805409840052,0.8730505444385507
10,humidity,0.05408228356535971,0.1783046347737108,0.05408228356535971,0.8730505444385507
22,temp,-0.054310159359661804,0.17647989940652203,0.054310159359661804,0.8730505444385507
10,temp_diff,0.07592076903744899,0.058643875897748526,0.07592076903744899,0.8730505444385507
33,moon_sin,0.062024079729532916,0.12258715711715917,0.062024079729532916,0.8730505444385507
9,moon_sin,0.06530607657856242,0.1039760069867431,0.06530607657856242,0.8730505444385507
9,humidity,0.05262590174544046,0.19029864262457177,0.05262590174544046,0.8730505444385507
9,pressure_diff,-0.06765158394637817,0.09210394909006842,0.06765158394637817,0.8730505444385507
9,pressure,-0.05962800730088255,0.13774277275452215,0.05962800730088255,0.8730505444385507
9,temp,0.06466843213814974,0.10740490653410394,0.06466843213814974,0.8730505444385507
22,pressure_diff,-0.06390150466611348,0.1116466843559593,0.06390150466611348,0.8730505444385507
34,pressure,0.08930636876761586,0.026049853666904696,0.08930636876761586,0.8730505444385507
8,humidity_diff,-0.05650529818805816,0.1596078749399555,0.05650529818805816,0.8730505444385507
8,pressure_diff,0.05334410077306936,0.18431185800656044,0.05334410077306936,0.8730505444385507
27,humidity,0.07063868295730968,0.07858463377258347,0.07063868295730968,0.8730505444385507
34,humidity,-0.07580585896388377,0.05902816185967554,0.07580585896388377,0.8730505444385507
11,moon_sin,-0.05674119071393473,0.15786979569029702,0.05674119071393473,0.8730505444385507
32,moon_cos,-0.05809982561999527,0.14813655737019593,0.05809982561999527,0.8730505444385507
32,humidity_diff,-0.07205609290762933,0.07275831330448004,0.07205609290762933,0.8730505444385507
12,humidity,-0.05382222564344215,0.18040414159395515,0.05382222564344215,0.8730505444385507
18,pressure,0.06691137727699412,0.09572719202319718,0.06691137727699412,0.8730505444385507
30,temp_diff,-0.052235005039433055,0.1936165312224356,0.052235005039433055,0.8730505444385507
17,moon_age,0.05436468662287373,0.17604533352239102,0.05436468662287373,0.8730505444385507
17,humidity_diff,0.05439992451832741,0.17576492179902323,0.05439992451832741,0.8730505444385507
17,humidity,0.0724832006132062,0.07107348916906876,0.0724832006132062,0.8730505444385507
18,moon_sin,-0.06832385403401625,0.08890926151979346,0.06832385403401625,0.8730505444385507
17,temp_diff,-0.0659567337084203,0.10056715748373116,0.0659567337084203,0.8730505444385507
16,humidity,-0.052071968092114354,0.19501282362770103,0.052071968092114354,0.8730505444385507
16,pressure_diff,0.051280547113713854,0.20189552536285835,0.051280547113713854,0.8730505444385507
30,moon_age,0.05846420078112215,0.14560560563264682,0.05846420078112215,0.8730505444385507
30,moon_sin,-0.05936869895561803,0.1394657913668521,0.05936869895561803,0.8730505444385507
34,humidity_diff,-0.06426328511107177,0.10962957645347304,0.06426328511107177,0.8730505444385507
15,moon_cos,-0.050035639794347865,0.21307677671159553,0.050035639794347865,0.8730505444385507
15,pressure_diff,-0.0500761638429431,0.21270592307171138,0.0500761638429431,0.8730505444385507
15,temp,0.05117194953645862,0.2028535744445284,0.05117194953645862,0.8730505444385507
29,pressure_diff,-0.06411179252819282,0.11047069872527919,0.06411179252819282,0.8730505444385507
19,pressure_diff,-0.08217361667306429,0.04064892384624039,0.08217361667306429,0.8730505444385507
29,temp,-0.05823339113772053,0.14720494621015862,0.05823339113772053,0.8730505444385507
13,moon_cos,-0.058369431627809505,0.14626067259425388,0.058369431627809505,0.8730505444385507
13,moon_sin,-0.05408593489232323,0.1782752864579536,0.05408593489232323,0.8730505444385507
20,pressure,0.07007546752906017,0.08100248102525738,0.07007546752906017,0.8730505444385507
20,humidity,-0.06114671199949351,0.1279783339707692,0.06114671199949351,0.8730505444385507
28,humidity_diff,0.0738147674466377,0.06602457272658178,0.0738147674466377,0.8730505444385507
28,temp_diff,-0.06698567248482439,0.09535846128766233,0.06698567248482439,0.8730505444385507
31,temp,-0.06995536120791587,0.081525805006127,0.06995536120791587,0.8730505444385507
22,moon_age,-0.05102987570781872,0.20411193355357612,0.05102987570781872,0.8730505444385507
9,moon_age,-0.09351634804039383,0.01976233159383103,0.09351634804039383,0.8730505444385507
24,moon_age,-0.058709487108110886,0.14392053485462905,0.058709487108110886,0.8730505444385507
