date,num1,num2,num3,num4,num5,num6,num7,temp,temp_diff,pressure,pressure_diff,humidity,humidity_diff,moon_age,moon_sin,moon_cos
2000/10/5,2,8,10,13,27,30,39,21.3,-3,1014.1,3.3,65,7,7.25,1,0.03
2000/10/12,1,9,16,20,21,43,5,26.1,1,1004.1,-4.4,56,-9,14.25,0.11,-0.99
2000/10/19,1,5,15,31,36,38,13,19.3,1.6,1018.8,5.2,63,26,21.25,-0.98,-0.19
2000/10/26,16,18,26,27,34,40,13,21.8,0.6,1011.9,4,33,-49,28.25,-0.27,0.96
2000/11/2,9,15,21,23,27,28,43,14.8,-0.2,1010.1,-2.6,90,0,5.72,0.94,0.35
2000/11/9,6,12,23,25,28,38,22,12.9,-5.1,1019.7,6.7,52,15,12.72,0.42,-0.91
2000/11/16,7,19,21,23,33,35,26,11.9,-4.5,1022.8,7.2,63,-18,19.72,-0.87,-0.49
2000/11/23,11,16,18,20,42,43,28,11.9,0.3,1019.7,-3.4,64,16,26.72,-0.56,0.83
2000/11/30,11,19,23,38,39,42,15,11.7,2.1,1016.4,-2,37,-13,4.19,0.78,0.63
2000/12/7,1,3,19,21,35,39,26,8.5,-3.3,1021.3,10.2,33,2,11.19,0.69,-0.72
2000/12/14,12,26,32,37,40,42,16,9,-1.6,1015.7,2,49,19,18.19,-0.67,-0.75
2000/12/21,14,17,27,28,35,39,22,11.6,3.1,1007.5,-5.1,32,-46,25.19,-0.8,0.6
2000/12/28,13,29,31,37,41,42,17,9.4,2.2,1015,-2.8,36,10,2.65,0.54,0.84
2001/1/4,2,8,11,35,37,38,43,4.9,-4.2,1007.4,5.9,30,15,9.65,0.89,-0.46
2001/1/11,4,6,11,20,21,28,36,9.1,-2,999.6,-4,57,19,16.65,-0.39,-0.92
2001/1/18,5,12,13,29,34,35,30,8.4,3.8,1011.4,-5.6,33,5,23.65,-0.95,0.32
2001/1/25,14,20,25,34,35,36,11,3.8,-3.7,1013.5,-7.2,74,46,1.12,0.24,0.97
2001/2/1,6,16,18,27,36,41,33,5.1,-1.9,998.7,-16.6,73,7,8.12,0.99,-0.16
2001/2/8,4,8,12,30,33,43,14,7,4.2,1012.1,1.2,26,-61,15.12,-0.08,-1
2001/2/15,7,29,33,35,37,39,19,5.9,2,1015.3,6.4,28,-30,22.12,-1,-0.01
2001/2/22,5,7,13,19,38,41,42,15.3,0.9,1010.2,4,43,-7,29.12,-0.09,1
2001/3/1,8,12,16,19,20,35,41,6.4,-8.8,1002.6,-4.8,87,30,6.59,0.99,0.17
2001/3/8,7,10,28,32,33,40,13,7.9,-2.2,995.1,-3.7,51,29,13.59,0.25,-0.97
2001/3/15,15,18,19,30,36,38,13,14,0.2,1002.7,-11.5,29,-18,20.59,-0.95,-0.32
2001/3/22,11,32,34,37,40,43,8,16.3,-0.9,1003.5,0.4,57,1,27.59,-0.4,0.92
2001/3/29,3,4,11,12,13,43,22,6.2,-9.8,997.3,-4.3,87,30,5.06,0.88,0.47
2001/4/5,4,8,20,30,33,38,10,16.1,2.8,1012.6,1.4,47,27,12.06,0.54,-0.84
2001/4/12,6,11,15,20,31,41,7,20.3,0.8,989.5,-10.8,52,-11,19.06,-0.79,-0.61
2001/4/19,8,12,20,35,37,40,33,20,0.8,998.4,-10.4,53,-1,26.06,-0.67,0.74
2001/4/26,4,16,17,19,26,37,8,15.9,3.6,1011.8,4.6,40,-38,3.53,0.68,0.73
2001/5/3,7,18,22,25,28,43,4,13.2,0,1011.1,0.6,60,-14,10.53,0.78,-0.62
2001/5/10,3,6,7,23,29,41,33,20.9,0.3,1001.3,4.4,73,1,17.53,-0.56,-0.83
2001/5/17,8,17,22,25,29,41,13,20.9,-0.5,1007.2,7.1,38,-41,24.53,-0.87,0.49
2001/5/24,2,20,25,30,37,40,10,20.8,1.2,994.9,-4.6,81,-6,2,0.41,0.91
2001/5/31,3,5,13,30,32,41,28,23.6,1,994.6,-15.4,73,9,9,0.94,-0.34
2001/6/7,1,16,20,23,30,40,17,20.1,-1.1,1001.9,-0.1,86,1,16,-0.26,-0.97
2001/6/14,3,5,9,17,21,41,26,18.8,-4.1,1001.3,-0.9,88,19,23,-0.98,0.18
2001/6/21,2,9,26,27,34,43,42,20.2,-6.8,1006.7,9.6,79,14,0.47,0.1,0.99
2001/6/28,10,18,22,25,39,42,17,28.8,-2.2,1000.1,4,60,5,7.47,1,-0.02
2001/7/5,5,17,25,34,38,39,2,32.5,0.3,1000.7,1.1,48,-8,14.47,0.06,-1
2001/7/12,18,21,27,33,36,38,23,32,2.5,998.3,-1.3,52,-12,21.47,-0.99,-0.14
2001/7/19,4,15,21,24,33,37,9,29.9,1,1004,1,61,-15,28.47,-0.22,0.97
2001/7/26,1,2,3,15,24,26,27,27.5,-0.4,1004.8,1.3,64,-8,5.94,0.95,0.3
2001/8/2,3,16,24,31,34,42,36,26,-5.3,1013.5,6.9,72,11,12.94,0.38,-0.93
2001/8/9,7,9,28,32,36,38,8,28.7,2.1,1004.8,-2.4,72,9,19.94,-0.89,-0.45
2001/8/16,11,14,21,24,25,42,41,29.1,0,1007.1,-3.6,51,-5,26.94,-0.52,0.85
2001/8/23,3,11,14,25,27,31,22,30.4,3.8,994.4,10.7,62,-24,4.41,0.81,0.59
2001/8/30,2,5,28,30,33,40,26,25.3,-1.5,1002.9,-1.1,72,2,11.41,0.65,-0.76
2001/9/6,2,13,21,31,32,41,35,24.5,0.4,1008.8,-0.8,64,7,18.41,-0.7,-0.71
2001/9/13,5,13,15,25,27,39,40,23.4,-5.1,1009.9,7.5,82,17,25.41,-0.77,0.64
2001/9/20,7,15,24,37,38,41,34,22.1,-4.1,1010.8,1.6,74,15,2.88,0.57,0.82
2001/9/27,1,16,24,25,36,42,21,24.8,0.5,1011.4,-0.8,60,10,9.88,0.86,-0.51
2001/10/4,2,15,23,37,40,43,25,20.8,-2.1,1014.9,0.9,70,23,16.88,-0.43,-0.9
2001/10/11,14,25,26,31,37,42,7,24.2,4.8,1004.7,-4.9,63,-27,23.88,-0.93,0.36
2001/10/18,11,12,13,14,37,39,28,13.8,-3.8,1011.5,5.6,78,-6,1.35,0.28,0.96
2001/10/25,10,13,25,31,32,42,40,20.5,0.4,1016.9,3.6,53,13,8.35,0.98,-0.2
2001/11/1,2,14,22,27,35,42,34,19.7,1.4,1013.8,-3.1,54,-3,15.35,-0.12,-0.99
2001/11/8,4,8,9,13,16,25,28,16,2,1019.5,-2.8,54,9,22.35,-1,0.04
2001/11/15,9,15,17,30,32,41,31,13.6,0.2,1012.8,3,51,18,29.35,-0.04,1
2001/11/22,20,21,23,28,30,42,29,15.7,0,1016,0.5,39,-4,6.82,0.99,0.12
2001/11/29,4,8,22,25,27,28,6,15.1,1.9,1009,-2.2,44,0,13.82,0.2,-0.98
2001/12/6,2,3,9,12,15,30,42,10.3,-1.3,1005.8,-7.5,80,19,20.82,-0.96,-0.28
2001/12/13,11,16,20,28,34,40,22,8.2,-3.3,997.7,-24.6,81,35,27.82,-0.36,0.93
2001/12/20,2,14,19,22,32,41,9,9.6,-0.4,1021.6,0.8,27,-1,5.29,0.9,0.43
2001/12/27,2,10,22,23,31,43,28,9.2,0.4,1014.2,0.6,40,7,12.29,0.5,-0.86
2002/1/10,7,15,17,30,33,35,14,11,2,1004.9,-1.3,54,28,26.29,-0.64,0.77
2002/1/17,1,4,6,11,18,25,3,7.4,-3.6,1006.2,8.4,62,-23,3.76,0.72,0.7
2002/1/24,16,23,30,35,37,39,38,9.4,-0.3,1013.5,7.9,35,12,10.76,0.75,-0.66
2002/1/31,1,9,31,35,40,41,14,6.7,-1.5,1016.9,8.6,24,-18,17.76,-0.59,-0.8
