date,num1,num2,num3,num4,num5,num6,num7,num8,num9,temp,temp_diff,pressure,pressure_diff,humidity,humidity_diff,moon_age,moon_sin,moon_cos
2013/4/5,7,10,12,17,23,28,34,3,15,19.9,1.1,1012.5,1.8,61,-1,24.54,-0.87,0.49
2013/4/12,20,24,29,31,33,34,35,12,32,15.5,4.1,1003.6,-2.9,39,-23,2,0.41,0.91
2013/4/19,2,7,8,11,14,23,31,5,15,13.9,-6.3,1007,9.7,22,-54,9,0.94,-0.34
2013/4/26,12,13,22,23,24,28,29,2,14,16.2,-2.8,993.5,-8.8,58,5,16,-0.26,-0.97
2013/5/3,1,3,4,5,16,21,28,22,31,16.5,0.4,1007.1,4.3,54,28,23,-0.98,0.18
2013/5/10,5,15,19,23,30,34,35,6,25,24.3,2,1002.5,-4.5,50,-2,0.47,0.1,0.99
2013/5/17,1,3,5,7,27,29,33,6,15,19.7,-0.3,1011.1,3.2,57,-4,7.47,1,-0.02
2013/5/24,2,21,28,29,30,32,36,6,8,24.1,2.4,1008.2,1.6,42,-2,14.47,0.06,-1
2013/5/31,3,4,15,23,27,30,36,13,35,24.8,2.8,1006.3,2,37,-51,21.47,-0.99,-0.14
2013/6/7,1,2,3,6,24,28,30,16,20,23.4,0.4,1006.1,-4.3,50,-12,28.47,-0.22,0.97
2013/6/14,9,15,26,29,32,34,36,14,35,26.7,5.4,1008.4,-0.6,77,-15,5.94,0.95,0.3
2013/6/21,11,12,14,19,26,27,33,24,32,22.3,0.5,1002,-0.2,87,-3,12.94,0.38,-0.93
2013/6/28,6,10,16,21,27,28,35,15,34,24.3,-1.7,1004.6,3.8,66,18,19.94,-0.89,-0.45
2013/7/5,4,7,8,9,24,28,30,34,36,27.9,1.8,1000.2,-0.5,77,-2,26.94,-0.52,0.85
2013/7/12,2,10,14,17,23,25,35,8,29,31.9,0.6,1002.5,1.2,62,-5,4.41,0.81,0.59
2013/7/19,5,6,9,13,16,21,23,8,34,27.4,-3.9,1005.3,7.4,62,5,11.41,0.65,-0.76
2013/7/26,2,3,5,22,34,36,37,7,15,30.3,1.4,999.6,-0.2,70,-1,18.41,-0.7,-0.71
2013/8/2,12,17,21,24,29,31,36,20,26,27.6,-1.5,1004.4,4.9,69,-7,25.41,-0.77,0.64
2013/8/9,2,14,19,20,21,22,31,1,15,32.4,0.6,999.5,-1.1,71,6,2.88,0.58,0.82
2013/8/16,2,5,13,20,21,23,28,11,22,29.7,-1.2,1004.6,-0.7,71,13,9.88,0.86,-0.51
2013/8/23,1,9,13,15,25,30,33,19,28,26.5,-5.2,1002.6,-2.3,83,20,16.88,-0.44,-0.9
2013/8/30,2,4,8,9,15,23,25,3,10,33.6,3.1,998.4,-1.9,59,10,23.88,-0.93,0.36
