draw_no,hit_count
201,1
202,0
203,3
204,1
205,1
206,1
207,2
208,2
209,0
210,2
211,1
212,2
213,2
214,2
215,0
216,2
217,2
218,0
219,2
220,1
221,1
222,0
223,2
224,0
225,0
226,2
227,0
228,0
229,0
230,0
231,1
232,1
233,2
234,0
235,1
236,1
237,4
238,2
239,1
240,1
241,1
242,2
243,1
244,2
245,2
246,1
247,2
248,3
249,1
250,1
251,1
252,1
253,2
254,2
255,1
256,0
257,1
258,1
259,0
260,2
261,1
262,0
263,1
264,2
265,2
266,2
267,2
268,1
269,3
270,1
271,2
272,3
273,2
274,1
275,3
276,0
277,1
278,1
279,2
280,0
281,0
282,1
283,3
284,1
285,2
286,3
287,2
288,1
289,1
290,0
291,0
292,1
293,4
294,1
295,2
296,2
297,1
298,1
299,3
300,0
301,1
302,0
303,1
304,0
305,0
306,0
307,0
308,0
309,1
310,2
311,1
312,1
313,3
314,1
315,2
316,0
317,2
318,1
319,2
320,2
321,1
322,0
323,1
324,2
325,0
326,1
327,2
328,2
329,3
330,2
331,1
332,1
333,0
334,1
335,2
336,2
337,1
338,0
339,1
340,2
341,4
342,0
343,2
344,1
345,0
346,1
347,1
348,0
349,3
350,1
351,2
352,1
353,0
354,4
355,2
356,1
357,3
358,1
359,2
360,2
361,0
362,2
363,3
364,1
365,1
366,0
367,2
368,1
369,2
370,1
371,1
372,2
373,1
374,2
375,1
376,3
377,0
378,1
379,2
380,1
381,0
382,2
383,2
384,1
385,2
386,0
387,2
388,1
389,2
390,1
391,2
392,1
393,0
394,0
395,1
396,2
397,0
398,0
399,1
400,3
401,2
402,3
403,2
404,4
405,1
406,1
407,1
408,0
409,1
410,3
411,0
412,1
413,2
414,2
415,0
416,1
417,1
418,1
419,0
420,2
421,1
422,1
423,1
424,0
425,1
426,1
427,2
428,1
429,3
430,3
431,0
432,2
433,1
434,1
435,1
436,1
437,1
438,1
439,4
440,0
441,2
442,2
443,0
444,2
445,2
446,0
447,0
448,1
449,2
450,2
451,1
452,2
453,1
454,0
455,3
456,1
457,1
458,0
459,2
460,0
461,1
462,1
463,1
464,2
465,1
466,0
467,2
468,3
469,2
470,0
471,2
472,1
473,0
474,2
475,1
476,3
477,1
478,1
479,0
480,2
481,2
482,1
483,2
484,1
485,0
486,2
487,2
488,1
489,1
490,2
491,0
492,2
493,1
494,1
495,1
496,1
497,2
498,0
499,2
500,2
501,3
502,1
503,0
504,2
505,2
506,1
507,1
508,1
509,1
510,2
511,2
512,1
513,1
514,1
515,1
516,3
517,2
518,1
519,2
520,3
521,2
522,1
523,0
524,2
525,2
526,3
527,2
528,1
529,1
530,1
531,2
532,2
533,0
534,2
535,2
536,2
537,0
538,0
539,2
540,2
541,2
542,1
543,2
544,1
545,2
546,0
547,1
548,1
549,1
550,1
551,1
552,0
553,2
554,1
555,1
556,2
557,3
558,1
559,1
560,2
561,2
562,4
563,3
564,2
565,2
566,2
567,4
568,0
569,0
570,1
571,1
572,2
573,2
574,2
575,0
576,2
577,2
578,1
579,1
580,3
581,1
582,1
583,0
584,1
585,0
586,1
587,3
588,1
589,2
590,3
591,1
592,1
593,0
594,1
595,3
596,1
597,3
598,1
599,1
600,2
601,1
602,1
603,2
604,2
605,3
606,2
607,2
608,1
609,1
610,1
611,0
612,1
613,0
614,1
615,2
616,1
617,4
618,3
619,0
620,3
621,1
